channel,channel_idx,addicted_mean,healthy_mean,t_statistic,p_value,cohens_d,auc_score,discriminability,task
F4,7,134.39105780496158,162.11181434356308,-0.4448686159594306,0.6643327122989404,-0.2568450151779555,0.40816326530612246,0.0862144696043218,M
O2,1,154.93189770271383,175.73231145002026,-0.37160210635020746,0.7166675372322198,-0.2145445761325029,0.4285714285714286,0.060787443129091574,M
P4,0,98.47104831102551,118.96992169984233,-0.3141201375492235,0.7588236314414227,-0.18135734597176603,0.3877551020408163,0.04373910611289206,M
P7,15,166.41452945009323,153.96690021334584,0.2050349114295885,0.840981591849214,0.11837696130703142,0.46938775510204084,0.01882411594877133,M
T7,14,139.25324259069436,144.224974271865,-0.11125935680492365,0.9132499576276716,-0.0642356196011043,0.34693877551020413,0.005572442722208568,M
Pz,18,21.752260281257687,20.174846331953116,0.1066899948987928,0.9167978101596952,0.06159749727441729,0.4693877551020408,0.0051250466619137255,M
Cz,5,1.32480471168666,8.341814239112454,-1.6095251188163973,0.13347698618405415,-0.9292597606038051,0.30612244897959184,0.8052249683762935,ET
T7,14,216.9298272279071,133.76228116293296,1.4141693482222897,0.1827294486377467,0.8164710538750551,0.5918367346938775,0.6672777483717863,ET
P7,15,233.92011799101994,143.27757281045024,1.2307587061046426,0.24199227818771812,0.7105788702764337,0.7346938775510203,0.5386242706261845,ET
P4,0,121.35646279703612,63.569017245040605,1.1627363673444682,0.26753830697451797,0.6713061546821164,0.4897959183673469,0.4917060425968891,ET
O1,17,193.27228978967608,890.7506673476119,-1.074014285460023,0.3039385836090486,-0.6200824368237926,0.30612244897959184,0.4316154592547217,ET
F3,12,292.7613421044442,163.16295314514045,1.0150701236395527,0.33010227686425186,0.5860510091293775,0.42857142857142855,0.3925942366571775,ET
Fp1,10,836.573031085561,1123.4429967856433,-0.9908843185359324,0.34130223967371354,-0.5720873280423854,0.34693877551020413,0.3768326416925688,ET
T8,3,157.31284863657103,199.75684587044225,-0.9814695875534716,0.3457355196190537,-0.5666517305746713,0.4489795918367347,0.37074010006140135,ET
C4,4,78.32017332636404,664.2554459343168,-0.9618095436938366,0.3551263157497251,-0.5553009989607351,0.4693877551020408,0.35809900106766734,ET
Pz,18,39.029571374761645,22.421856611112883,0.796695821197037,0.44110572903363154,0.45997254682908534,0.5714285714285714,0.25707602122458545,ET
Fp2,8,810.357417452866,1023.537689407787,-0.7750541457087272,0.4533102435797052,-0.4474777196613751,0.36734693877551017,0.24463148556518613,ET
Fz,6,161.3323249468703,119.6057981090617,0.7661871025631836,0.4583723049232148,0.4423583299140044,0.5918367346938775,0.23959352262933833,ET
P8,2,253.51100878994325,522.8907020851894,-0.7432779642353775,0.47161548000739983,-0.4291317327339439,0.7142857142857143,0.22674656461421772,ET
C3,13,95.06522243129953,143.1762733788552,-0.6590821162694356,0.522289714739794,-0.3805212372459259,0.326530612244898,0.18177890879231778,ET
O2,1,310.3258700694259,239.86571470190452,0.6328409750888939,0.5387102769077392,0.36537090732160876,0.5102040816326532,0.16854184466435299,ET
F8,9,254.44083346385,231.72539038240885,0.4342125642791329,0.671838759698991,0.25069274087179844,0.5918367346938775,0.08226764077894883,ET
F4,7,178.03785468391138,165.11137343726833,0.21541230123672894,0.83306366341134,0.12436835010566255,0.5306122448979592,0.020761596754215194,ET
P3,16,155.1142257946713,132.84201349996383,0.21430154362546278,0.8339102728848717,0.12372705389984452,0.4285714285714286,0.02054979261898394,ET
F7,11,256.21479709234006,268.7260533120672,-0.17618994219584191,0.8630831561635315,-0.10172331055519124,0.46938775510204084,0.013927634625813708,ET
T7,14,397.8360037778345,206.62881854928497,1.8781014896011452,0.08487497957313779,1.0843224005860435,0.6938775510204082,0.9922905589856073,R
Fz,6,199.83633202060466,123.28957523602256,1.1888752128767954,0.2574834117802344,0.686397424186676,0.7142857142857143,0.509661473569926,R
Cz,5,3.7718887342974803,12.771920654935245,-1.1456438542451235,0.2742763995915296,-0.6614377876390012,0.3673469387755102,0.4800210126915892,R
F8,9,512.6403742752367,336.2063187448689,1.0958735838258409,0.29464057003620675,0.6327029086194224,0.5306122448979592,0.44628296296022973,R
T8,3,402.7055000950183,210.72306307882482,1.0904934376934117,0.2969088841796786,0.6295966798016053,0.5918367346938775,0.4426638321184803,R
P7,15,446.78708737640716,226.59674114019035,1.0570562022263392,0.311302095872921,0.6102916829037713,0.5918367346938775,0.4203066029220152,R
O1,17,288.57419078891667,678.2538540321377,-1.0000845214918714,0.3370098027028411,-0.5773990676956244,0.4489795918367347,0.38280992181071766,R
P4,0,162.00804745049535,91.8385146806152,0.9878087430759896,0.34274595383995776,0.5703116437223249,0.5714285714285714,0.3748396354086825,R
Pz,18,69.91162965293556,26.522431955533097,0.9010426271704028,0.38529279201091304,0.520217203347536,0.5714285714285714,0.31978126461765494,R
F3,12,437.0136918394438,208.99884871094704,0.8815858785939005,0.3953161204135316,0.5089838443198476,0.38775510204081637,0.3077743256301605,R
C3,13,112.87139556723538,188.51082786996213,-0.8687315310062896,0.4020349793389718,-0.5015623832796645,0.30612244897959184,0.29991676088061914,R
C4,4,261.57214686833584,768.960409276685,-0.6894986944161333,0.5036248740517606,-0.3980822568270188,0.4897959183673469,0.19759813037027085,R
F7,11,491.86384945897106,387.3321915426169,0.6871433273608604,0.5050559097252871,0.39672238502349727,0.4693877551020408,0.19635539994706924,R
P8,2,309.698147906166,408.9495080517643,-0.5120653082491426,0.6178981833520287,-0.2956410435602232,0.673469387755102,0.11296497982006329,R
Fp1,10,754.1046529193069,828.9276493788454,-0.46162545162985497,0.652606088357684,-0.26651957876318444,0.4693877551020408,0.09258727899580499,R
F4,7,211.77232816953233,178.71617009718466,0.461549708530987,0.6526588798465169,0.2664758484645438,0.4897959183673469,0.09255801969952446,R
O2,1,379.8629027589865,318.30861453057594,0.3255962703085005,0.7503370952350601,0.18798309430969354,0.489795918367347,0.046932405372059734,R
Fp2,8,829.8470599546862,872.1741152017368,-0.20309882111081468,0.8424608666657908,-0.11725915904039202,0.5306122448979591,0.018472906290721562,R
P3,16,387.01213712496485,348.8028047515572,0.1130885290042645,0.9118302508175117,0.06529169266285974,0.40816326530612246,0.005756752165784456,R
