feature,importance
corr_C4_F4,0.278840470312952
corr_Cz_Fp1,0.2781919348302429
corr_O2_P7,0.27708093295279945
O1_beta,0.27704126202369606
corr_Cz_Fz,0.2768165461385759
corr_C4_P3,0.27636751038024804
O2_beta,0.2761493838237931
corr_C3_Pz,0.2757824430497482
P4_mobility,0.27396088502223176
C3_std,0.2716653845103228
Fz_beta,0.26995340493638503
corr_F4_F3,0.2626853140952886
C3_skew,0.2624901133869257
corr_F4_F7,0.2615550489259447
corr_Fp2_Pz,0.2587451731685907
T7_std,0.25847413854609136
C4_complexity,0.2561798143683405
Cz_skew,0.2555258094428153
corr_Cz_F3,0.25518318992463074
corr_F8_T7,0.2549248127476282
F7_theta,0.2539129363585496
corr_Fp1_F7,0.2502791066142009
C3_kurt,0.2489663852358652
corr_T8_Fz,0.24116940460734654
F7_mean,0.2404930309711919
Fz_mobility,0.23958531050220142
corr_T8_C4,0.23802840711310302
C4_std,0.23594073250299125
F7_complexity,0.2337276242493808
Cz_kurt,0.23284025148167242
P8_skew,0.23278138539260768
F8_gamma,0.22805038714231077
corr_Fz_T7,0.22673865299472878
P4_theta,0.22247801912831353
corr_P8_T7,0.2214305959021199
Cz_delta,0.2210935163751613
P4_gamma,0.21987605707642383
corr_P4_Fp1,0.21927147642899036
F4_alpha,0.21810930131415157
O2_std,0.21715142881277627
corr_P4_F3,0.21646757740226416
corr_P7_Pz,0.21567695803512987
C3_gamma,0.21509379621373237
Fp2_complexity,0.21412455731699523
O2_theta,0.21325906726950267
corr_C3_P3,0.20900944353700843
corr_O2_Pz,0.20884895272305454
F8_complexity,0.20617107378683158
corr_P8_C4,0.19952271867283025
F8_kurt,0.19840097511466204
corr_P8_O1,0.19800074554245897
P7_kurt,0.19776372737781464
F4_beta,0.19691746466646384
Fz_std,0.1957738405059016
corr_C4_Fp2,0.19263186795632453
C4_kurt,0.19128983852286724
corr_F4_Fp1,0.19020813866960978
Cz_std,0.18882704745541196
corr_P4_P3,0.18842785754571562
corr_Fp2_T7,0.18591936344036564
T7_activity,0.18439690224790797
corr_T8_F4,0.18394329042485524
corr_F8_P7,0.18370476275241818
T8_std,0.1834973869839595
F8_theta,0.18345598020793688
corr_T8_C3,0.1832068296954188
corr_O2_F8,0.18241988563811612
corr_T8_Pz,0.1822430903780093
F8_beta,0.18136994183867167
Fp1_skew,0.17900341459021737
C3_alpha,0.178124086322598
corr_P4_C3,0.17800086282886476
Fp1_beta,0.1778538478016526
corr_P4_Cz,0.1774704972868838
corr_Fz_Fp1,0.17645615084805696
corr_P4_O2,0.1729122668571992
corr_F4_Fp2,0.17285676006514644
corr_Fz_F7,0.17245011334410673
corr_F4_Pz,0.17197258103382962
O1_mean,0.1717028984945501
P4_delta,0.17103192919879093
corr_P4_F4,0.16952897365029
corr_Cz_Pz,0.16868682628231643
Fp2_beta,0.16799472485807046
Fz_gamma,0.16616214675531388
P8_mean,0.16583147509040158
F7_mobility,0.1656865301628895
Fp2_mean,0.1645681278487985
T8_mobility,0.16361294548317806
corr_F8_Fp1,0.16250848466628343
P4_complexity,0.1618428564218106
corr_Fp2_F8,0.16183181200250057
Fp1_alpha,0.1608200093867398
corr_F4_C3,0.16063836127392941
corr_T8_T7,0.16061527077377377
F4_gamma,0.15833337705644265
O2_complexity,0.15827430930216202
Fp1_mean,0.15613552087152885
corr_Fp2_F7,0.1555134153677963
F4_delta,0.15544514021802167
corr_F8_F7,0.15502709085115515
corr_Cz_F8,0.15473004274058005
corr_Fp1_Pz,0.15324453532494414
O2_activity,0.15248770910225756
Cz_complexity,0.15087839776143702
corr_P4_C4,0.1504381114294427
P3_mean,0.14998525587320014
corr_Fz_F8,0.14907905304436408
P4_skew,0.14878683901757195
corr_F3_P3,0.14861016899033716
corr_O2_P8,0.14819127182752972
T8_theta,0.14775741336642642
corr_T7_Pz,0.14709041236621534
Pz_delta,0.14534629424215512
T7_gamma,0.14493398036480487
C4_theta,0.14384168424070148
corr_T8_Fp1,0.14346674400577983
P7_activity,0.14168130065488688
Fp2_gamma,0.1402137042716277
corr_O2_T8,0.13823893704915685
corr_P4_F8,0.137824469146504
O1_activity,0.13563917220263647
T7_delta,0.13523272962385277
P7_delta,0.13439781839544454
O1_alpha,0.13347103222357196
F8_std,0.13338675510321324
F3_delta,0.13303433129375483
F4_kurt,0.13302825741399738
corr_F3_C3,0.1326121789699698
T8_complexity,0.1316343253222647
